method,num_questions,avg_mrr,avg_recall@10,avg_answer_f1,pct_complete_answers,avg_retrieval_time,avg_generation_time,avg_total_time,total_evaluation_time
dense,100,0.3025,0.33,0.0,100.0,0.09162759065628051,5.771235003471374,5.862890465259552,586.3108620643616
sparse,100,0.43916666666666665,0.47,0.0,100.0,0.006319670677185058,5.528280117511749,5.5346306967735295,553.4728393554688
hybrid,100,0.37833333333333335,0.43,0.0,100.0,0.09208252429962158,6.2750128912925724,6.367139372825623,636.7243158817291
